archetype,sentiment,trades,total_pnl,avg_trade_size
Consistent Loser,Fear,13940,136423.291189,9343.652593256815
Consistent Loser,Greed,13078,-286650.03286900005,1047.2990877810064
Efficient Conservative,Fear,17980,86752.889088,1487.126349833148
Efficient Conservative,Greed,14061,722210.9813250001,2427.2451696180924
High-Risk High-Reward,Fear,11407,1973425.535259,25718.467263960723
High-Risk High-Reward,Greed,6904,969968.754773,22729.782692641948
High-Risk Loss-Maker,Fear,2665,46828.795402,6896.369140712946
High-Risk Loss-Maker,Greed,545,-98226.646159,19534.67234862385
Moderate Trader,Fear,37245,1852835.179194,3465.448314404618
Moderate Trader,Greed,55707,3557997.526554,3548.0060198897804
